Archivo,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
file_1.bin,5242880,7.999962,274.038672,127.461775,3.141464,0.000627
file_10.bin,5242880,7.999964,260.484766,127.496336,3.140136,-0.000695
file_100.bin,5242880,7.999963,270.011230,127.558676,3.138081,-0.000377
file_11.bin,5242880,7.999967,238.853125,127.450275,3.145153,0.000166
file_12.bin,5242880,7.999967,237.117480,127.485981,3.144178,0.000208
file_13.bin,5242880,7.999966,246.253809,127.499768,3.143739,0.000013
file_14.bin,5242880,7.999964,264.565430,127.534215,3.141276,0.000010
file_15.bin,5242880,7.999964,260.182422,127.472922,3.142517,0.000598
file_16.bin,5242880,7.999967,240.539551,127.527155,3.142650,0.000314
file_17.bin,5242880,7.999965,257.337988,127.510219,3.140649,0.000256
file_18.bin,5242880,7.999967,239.215332,127.481996,3.140219,0.000352
file_19.bin,5242880,7.999962,276.113574,127.467521,3.139216,0.000412
file_2.bin,5242880,7.999964,262.317871,127.503727,3.142819,0.000036
file_20.bin,5242880,7.999964,262.769824,127.425818,3.141903,0.000464
file_21.bin,5242880,7.999963,270.053418,127.448745,3.142256,-0.000335
file_22.bin,5242880,7.999965,257.681543,127.511606,3.139706,-0.000416
file_23.bin,5242880,7.999962,276.231934,127.482588,3.143565,0.000262
file_24.bin,5242880,7.999965,255.005176,127.513853,3.140530,-0.000388
file_25.bin,5242880,7.999967,242.814355,127.516624,3.138823,0.000822
file_26.bin,5242880,7.999958,307.297461,127.483704,3.141386,-0.000215
file_27.bin,5242880,7.999964,262.320508,127.491424,3.141578,-0.000143
file_28.bin,5242880,7.999968,232.602051,127.512213,3.139180,-0.000038
file_29.bin,5242880,7.999963,266.740527,127.515945,3.141258,0.000347
file_3.bin,5242880,7.999964,264.112988,127.536877,3.138530,-0.000035
file_30.bin,5242880,7.999967,237.195215,127.494169,3.140045,0.000191
file_31.bin,5242880,7.999960,292.794238,127.504761,3.143629,0.000175
file_32.bin,5242880,7.999970,220.465332,127.514889,3.138800,0.000341
file_33.bin,5242880,7.999966,245.300684,127.510128,3.142151,-0.000231
file_34.bin,5242880,7.999962,275.379980,127.520796,3.142045,-0.000282
file_35.bin,5242880,7.999961,281.851465,127.523791,3.140361,0.000122
file_36.bin,5242880,7.999970,216.993750,127.502073,3.139074,0.000283
file_37.bin,5242880,7.999961,283.072266,127.480095,3.140626,-0.000356
file_38.bin,5242880,7.999964,263.299219,127.485762,3.141642,-0.000005
file_39.bin,5242880,7.999965,256.486719,127.491485,3.142508,0.000407
file_4.bin,5242880,7.999969,224.937012,127.475999,3.141496,-0.000203
file_40.bin,5242880,7.999969,226.364453,127.488873,3.142338,-0.000762
file_41.bin,5242880,7.999964,261.741699,127.506111,3.141491,-0.000466
file_42.bin,5242880,7.999962,276.866504,127.522433,3.140612,0.000015
file_43.bin,5242880,7.999971,212.216406,127.509046,3.139312,0.000452
file_44.bin,5242880,7.999966,250.756055,127.493697,3.141871,-0.000219
file_45.bin,5242880,7.999968,232.830859,127.532398,3.139972,0.000080
file_46.bin,5242880,7.999963,265.775977,127.495373,3.140402,0.000877
file_47.bin,5242880,7.999964,261.212012,127.471113,3.145794,0.000441
file_48.bin,5242880,7.999963,266.031152,127.469979,3.141528,-0.000045
file_49.bin,5242880,7.999965,251.466504,127.506532,3.139908,-0.000400
file_5.bin,5242880,7.999967,241.287402,127.508575,3.141143,-0.000668
file_50.bin,5242880,7.999965,252.171875,127.527374,3.138200,-0.000010
file_51.bin,5242880,7.999963,271.296387,127.559207,3.138337,0.000964
file_52.bin,5242880,7.999965,256.926758,127.500319,3.140384,-0.000505
file_53.bin,5242880,7.999968,232.177832,127.473955,3.141816,-0.000375
file_54.bin,5242880,7.999966,244.897070,127.411804,3.144330,0.001072
file_55.bin,5242880,7.999960,288.996191,127.479011,3.141853,-0.000093
file_56.bin,5242880,7.999969,225.029980,127.497026,3.142947,-0.000528
file_57.bin,5242880,7.999966,248.973145,127.497763,3.141006,0.000268
file_58.bin,5242880,7.999965,256.041406,127.490049,3.141496,0.000286
file_59.bin,5242880,7.999971,213.323926,127.521655,3.139660,-0.000161
file_6.bin,5242880,7.999969,224.851660,127.488532,3.140713,-0.000330
file_60.bin,5242880,7.999958,303.845117,127.507357,3.140768,-0.000013
file_61.bin,5242880,7.999963,272.603516,127.480173,3.140457,-0.000244
